action_id,action,prediction,action_type
91115,"Reported, in part, by H4000",uncategorized,committee_report
91120,Bill reported favorably by committee and referred to the committee on House Ways and Means,referred,committee_report
91124,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,uncategorized,committee_report
91177,"Referred to the committee on House Rules, reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Transportation",referred,committee_report
91199,"Bill reported favorably by committee and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
91200,Committee recommended ought to pass and referred to the committee on House Ways and Means,referred,committee_report
91218,"Reported from the committee on Bonding, Capital Expenditures and State Assets",uncategorized,committee_report
91293,Reported favorably by committee and referred to the committee on Health Care Financing,referred,committee_report
91294,Committee recommended bill ought to pass and referred to the committee on House Ways and Means,referred,committee_report
91449,Committee reported that the matter be placed in the Orders of the Day for the next sitting,uncategorized,committee_report
91611,"Committee recommended ought to pass with an amendment, substituting therefor a bill with the same title, see H5051",uncategorized,committee_report
91910,Bill reported favorably by committee as changed and referred to the committee on House Ways and Means,referred,committee_report
92454,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendment pending,uncategorized,committee_report
95327,"Committee recommended ought to pass with an amendment, substituting therefor a bill, see H4498",uncategorized,committee_report
95647,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, inserting in place thereof the text of S3092",uncategorized,committee_report
96546,Bill reported favorably by committee and referred to the committee on Health Care Financing,referred,committee_report
96958,"Committee reported that the matter be placed in the Orders of the Day for Wednesday November 17, 2021",uncategorized,committee_report
97001,Reported favorably by committee as changed and referred to the committee on Health Care Financing,referred,committee_report
97264,"Committee recommended ought NOT to pass and referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
97898,Committee reported that the matter be placed in the Orders of the Day for the next session,uncategorized,committee_report
98403,"Resolve reported favorably by committee and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
98449,"Committee recommended bill ought to pass and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
98948,"Committee reported that the matter be placed in the Orders of the Day for the next sitting, the question being on acceptance",uncategorized,committee_report
98982,Ought NOT to pass (under Joint Rule 10),uncategorized,committee_report
99564,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment pending,uncategorized,committee_report
99665,Reported from the committee on House Rules,uncategorized,committee_report
99666,Reported on a part of H4960,uncategorized,committee_report
102566,Resolve reported favorably by committee and referred to the committee on House Ways and Means,referred,committee_report
102759,Committee recommended ought to pass,uncategorized,committee_report
102920,"Committee recommends ought to pass with an amendment substituting a bill with the same title, see H4350",uncategorized,committee_report
105327,"Resolutions reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
105328,"Committee reported that the matter be placed in the Orders of the Day for the next sitting, question of adoption",uncategorized,committee_report
105755,Reported from the committee on House Ways and Means,uncategorized,committee_report
105762,"Committee recommended ought to pass with an amendment, inserting in place thereof the text of S2439",uncategorized,committee_report
105776,Reported by H3770,uncategorized,committee_report
106413,Reported from the committee of conference,uncategorized,committee_report
106414,Reported on H3701,uncategorized,committee_report
106430,"The following section reported from the committee on House Ways and Means recommending that the action of the General Court stand; and the section was referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
106431,Committee reported that the matter be scheduled for consideration and Rule 7A suspended,uncategorized,committee_report
106970,"Bill reported favorably by committee and referred to the committee on Bonding, Capital Expenditures and State Assets",referred,committee_report
107079,"Committee recommended ought to pass with an amendment, inserting in place thereof the text of S2489 (reported Friday, July 2, 2021)",uncategorized,committee_report
107108,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Education",referred,committee_report
107118,"Reported, rules suspended and referred to the committee on Municipalities and Regional Government",referred,committee_report
