action_id,action,prediction,action_type
91126,Read third and passed to be engrossed,engrossment,engrossment
91129,Read third (title changed) and passed to be engrossed,engrossment,engrossment
95654,Passed to be engrossed,engrossment,engrossment
96960,"Read second, ordered to a third reading, read third and passed to be engrossed",engrossment,engrossment
97901,Passed to be engrossed -see Roll Call #229 (Yeas 40 to Nays 0),engrossment,engrossment
99192,"Read third, amended and passed to be engrossed",engrossment,engrossment
100264,"Read second, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,engrossment
104071,"Read third, amended and passed to be engrossed.",engrossment,engrossment
105760,Passed to be engrossed - 160 YEAS to 0 NAYS (See YEA and NAY No. 19),engrossment,engrossment
105834,"Read second, ordered to a third reading, rules suspended, read third (title changed) and passed to be engrossed",engrossment,engrossment
105861,"Read third (title changed), amended and passed to be engrossed",engrossment,engrossment
106808,"Read second, ordered to a third reading, rules suspended, read third and passed to be engrossed",engrossment,engrossment
107471,"Read, rules suspended, read second, ordered to a third reading, read third and passed to be engrossed",engrossment,engrossment
108054,"Read, rules suspended, read second, ordered to a third reading, read a third time and passed to be engrossed",engrossment,engrossment
108422,Passed to be engrossed -see Roll Call #46 (40 Yeas - 0 Nays),engrossment,engrossment
109050,"Read second, rules suspended, ordered to a third reading, read third and passed to be engrossed",engrossment,engrossment
110326,Passed to be engrossed -see Roll Call #110 (Yeas 38 – Nays 0),engrossment,engrossment
115524,Passed to be engrossed -see Roll Call #203 (Yeas 40 to Nay 0),engrossment,engrossment
117112,"Read second, ordered to a third reading, rules suspended, read third (title changed), amended and passed to be engrossed",engrossment,engrossment
117310,"Read second, ordered to a third reading, rules suspended, read third, and passed to be engrossed",engrossment,engrossment
117555,"Read, rules suspended, read second, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,engrossment
128360,"Read third, amended by substitution of a new text (H4433) and passed to be engrossed",engrossment,engrossment
128725,"Read; rules suspended, read second, ordered to a third reading, rules suspended, read third and passed to be engrossed",engrossment,engrossment
128899,Read third and passed to be engrossed - see Roll Call #102 (Yeas 38 – Nays 0),engrossment,engrossment
130355,"Ordered to a third reading, read third and passed to be engrossed",engrossment,engrossment
131318,Passed to be engrossed -- see Roll Call #186 (Yeas 39 to Nays 0),engrossment,engrossment
133307,"Read second, amended, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,engrossment
133987,"Read second, ordered to a third reading, read a third time and passed to be engrossed",engrossment,engrossment
