action_id,action,prediction,action_type
91116,Referred to the committee on Public Service,referred,first_committee
91177,"Referred to the committee on House Rules, reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Transportation",referred,first_committee
91218,"Reported from the committee on Bonding, Capital Expenditures and State Assets",uncategorized,first_committee
91962,Discharged to the committee on The Judiciary,uncategorized,first_committee
98984,Recommitted to the committee on Public Safety and Homeland Security,uncategorized,first_committee
106970,"Bill reported favorably by committee and referred to the committee on Bonding, Capital Expenditures and State Assets",referred,first_committee
107108,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Education",referred,first_committee
107118,"Reported, rules suspended and referred to the committee on Municipalities and Regional Government",referred,first_committee
107848,"Reported, referred to the committee on Joint Rules, rules suspended and referred to the committee on Public Service",referred,first_committee
110121,Senate NON-concurred in the reference to the committee on Labor and Workforce Development and referred to the committee on Joint Ways and Means,referred,first_committee
110931,Senate NON-concurred in the reference to the committee on Public Safety and Homeland Security and referred to the committee on The Judiciary,referred,first_committee
111253,"Refererd to the committee on Bonding, Capital Expenditures and State Assets",uncategorized,first_committee
127624,Read and referred to the committee on Transportation,referred,first_committee
128310,Senate receded from its referral to the committee on Public Health and concurred in the referral to the committee on Education,uncategorized,first_committee
129606,Reported from the committee on the Consumer Protection and Professional Licensure,uncategorized,first_committee
