id,action,branch,date
H1,Referred to the committee on House Ways and Means,House,2021-02-25T16:46:19.933Z
H1,"Reported, in part, by H4000",House,2021-04-15T04:00:00.000Z
H10,Referred to the committee on Public Service,House,2021-04-13T15:59:37.223Z
H10,Senate concurred,Senate,2021-04-13T15:59:37.223Z
H10,Hearing scheduled for 07/28/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-07-22T14:53:10.290Z
H10,Hearing rescheduled to 07/28/2021 from 09:30 AM-12:00 PM in Virtual Hearing,Joint,2021-07-23T18:22:47.127Z
H10,Bill reported favorably by committee and referred to the committee on House Ways and Means,House,2021-10-07T18:49:13.353Z
H100,Referred to the committee on The Judiciary,House,2021-04-01T17:04:17.083Z
H100,Senate concurred,Senate,2021-04-01T15:41:00.000Z
H100,"Bill reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",House,2021-04-14T17:35:11.223Z
H100,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,House,2021-04-14T17:35:58.097Z
H100,Read second and ordered to a third reading,House,2021-04-15T15:16:10.033Z
H100,Read third and passed to be engrossed,House,2021-04-28T04:00:00.000Z
H100,"Read, rules suspended, read second and ordered to a third reading",Senate,2021-04-29T04:00:00.000Z
H100,Taken out of the Orders of the Day,Senate,2021-06-03T15:12:00.000Z
H100,Read third (title changed) and passed to be engrossed,Senate,2021-06-03T15:12:00.000Z
H100,Emergency preamble adopted,House,2021-06-07T15:06:55.583Z
H100,Emergency preamble adopted,Senate,2021-06-07T15:26:51.847Z
H100,Enacted,House,2021-06-07T04:00:00.000Z
H100,Enacted and laid before the Governor,Senate,2021-06-07T15:26:51.847Z
H100,"Signed by the Governor, Chapter 18 of the Acts of 2021",Executive,2021-06-09T04:00:00.000Z
H1000,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1000,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1000,Hearing scheduled for 12/07/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-11-30T17:43:55.037Z
H1001,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1001,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1001,Hearing scheduled for 12/14/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-12-07T17:50:39.853Z
