,action_id,action,prediction,action_type
10,11,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,uncategorized,['committee report' 'chamber business']
11,12,Read second and ordered to a third reading,uncategorized,['chamber business']
12,13,Read third and passed to be engrossed,engrossment,['chamber business' 'engrossment']
13,14,"Read, rules suspended, read second and ordered to a third reading",uncategorized,['chamber business']
14,15,Taken out of the Orders of the Day,uncategorized,['chamber business']
15,16,Read third (title changed) and passed to be engrossed,engrossment,['chamber business' 'engrossment']
335,336,Committee reported that the matter be placed in the Orders of the Day for the next sitting,uncategorized,['committee report' 'chamber business']
501,502,"Read second, amended (as recommended by the committee on House Ways and Means)",uncategorized,['chamber business' 'amended' 'chamber_committee']
1095,1096,Red second and ordered to a third reading,uncategorized,['chamber business']
1097,1098,Read third,uncategorized,['chamber business']
1340,1341,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendment pending,uncategorized,['committee report' 'chamber business' 'amendment']
4533,4534,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, inserting in place thereof the text of S3092",uncategorized,['committee report' 'chamber business' 'amendment']
4535,4536,Read second,uncategorized,['chamber business']
4537,4538,Ordered to a third reading,uncategorized,['chamber business']
5844,5845,"Committee reported that the matter be placed in the Orders of the Day for Wednesday November 17, 2021",uncategorized,['committee report' 'chamber business']
5846,5847,"Read second, ordered to a third reading, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
5874,5875,Read; and placed in the Orders of the Day for the next session,uncategorized,['chamber business']
6151,6152,"Placed in the Orders of the Day for the next sitting (under the last sentence of Rule 7A), the question being on acceptance",uncategorized,['chamber business']
6784,6785,Committee reported that the matter be placed in the Orders of the Day for the next session,uncategorized,['committee report' 'chamber business']
6786,6787,"Read second, ordered to a third reading, read third",uncategorized,['chamber business']
7834,7835,"Committee reported that the matter be placed in the Orders of the Day for the next sitting, the question being on acceptance",uncategorized,['committee report' 'chamber business']
8078,8079,"Read third, amended and passed to be engrossed",engrossment,['chamber business' 'amended' 'engrossment']
8450,8451,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment pending,uncategorized,['committee report' 'chamber business' 'amendment']
9150,9151,"Read second, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,['chamber business' 'engrossment']
11568,11569,Referred to the committee on House Steering Policy and Scheduling for a second reading with the amendment pending,referred,['chamber business' 'amendment' 'referred to committee']
12957,12958,"Read third, amended and passed to be engrossed.",engrossment,['chamber business' 'amended' 'engrossment']
13717,13718,Placed in the Orders of the Day for the next sitting (under the last sentence of Rule 7A) for a second reading,uncategorized,['chamber business']
14214,14215,"Committee reported that the matter be placed in the Orders of the Day for the next sitting, question of adoption",uncategorized,['committee report' 'chamber business']
14650,14651,"Placed in the Orders of the Day for Thursday, April 29, 2021",uncategorized,['chamber business']
14720,14721,"Read second, ordered to a third reading, rules suspended, read third (title changed) and passed to be engrossed",engrossment,['chamber business' 'engrossment']
14747,14748,"Read third (title changed), amended and passed to be engrossed",engrossment,['chamber business' 'amended' 'engrossment']
15283,15284,Read third (title changed),uncategorized,['chamber business']
15338,15339,"Placed in the Orders of the Day for the next session, the question being ""Shall this reorganization plan be approved?""",uncategorized,['chamber business']
15340,15341,"Placed in the Orders of the Day for the next sitting, the question being on acceptance",uncategorized,['chamber business']
15602,15603,Committee recommended that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendment pending,uncategorized,['chamber business' 'amendment']
15694,15695,"Read second, ordered to a third reading, rules suspended, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
16331,16332,"Placed in the Orders of the Day for Thursday, July 1. 2021",uncategorized,['chamber business']
16357,16358,"Read, rules suspended, read second, ordered to a third reading, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
16426,16427,Committee reported that the matter be placed in the Orders of the Day for a second reading with the amendment pending,uncategorized,['committee report' 'chamber business' 'amendment']
16940,16941,"Read, rules suspended, read second, ordered to a third reading, read a third time and passed to be engrossed",engrossment,['chamber business' 'engrossment']
17301,17302,"Placed in the Orders of the Day for Tuesday, May 25, 2021, pursuant to an order previously adopted",uncategorized,['chamber business' 'adopted']
17422,17423,Placed in the Orders of the Day for the next sitting,uncategorized,['chamber business']
17936,17937,"Read second, rules suspended, ordered to a third reading, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
18891,18892,"Read, rules suspended, read second",uncategorized,['chamber business']
